Target,Mail
ham,"['well', 'im', 'computerless', 'time', 'make', 'oreo', 'truffle']"
ham,"['haha', 'yeah', 'see', 'sec']"
ham,"['number', 'sir']"
ham,"['lol', 'im', 'hot', 'air', 'balloon']"
ham,"['ok', 'bus', 'come', 'soon', 'come', 'otherwise', 'tomorrow']"
ham,"['msg', 'r', 'time', 'passthey', 'silently', 'say', 'thinking', 'u', 'right', 'also', 'making', 'u', 'think', 'least', 'moment', 'gd', 'ntswt', 'drms', 'shesil']"
ham,"['yeah', 'probably', 'swing', 'roommate', 'finish', 'girl']"
spam,"['got', 'take', 'take', 'part', 'wrc', 'rally', 'oz', 'u', 'lucozade', 'energy', 'text', 'rally', 'le', 'p', 'see', 'pack', 'lucozadecoukwrc', 'itcould', 'u']"
ham,"['happy', 'new', 'year', 'melody']"
ham,"['dun', 'need', 'pick', 'ur', 'gf']"
ham,"['yay', 'better', 'told', 'girl', 'either']"
ham,"['horrible', 'u', 'eat', 'mac', 'eat', 'u', 'forgot', 'abt', 'already', 'rite', 'u', 'take', 'long', 'reply', 'thk', 'toot', 'b', 'b', 'prepared', 'wat', 'shall', 'eat']"
ham,"['say', 'fantastic', 'chance', 'anything', 'need', 'bigger', 'life', 'lift', 'losing', 'live', 'think', 'would', 'first', 'person', 'die', 'n', 'v', 'q']"
ham,"['nw', 'came', 'hme', 'da']"
ham,"['im', 'outside', 'island', 'head', 'towards', 'hard', 'rock', 'youll', 'run']"
ham,"['day', 'class', 'class']"
ham,"['im', 'chennai', 'velachery']"
ham,"['flippin', 'shit', 'yet']"
ham,"['k', 'give', 'sec', 'breaking', 'ltgt', 'cstore']"
ham,"['much', 'bad', 'avoid', 'like']"
ham,"['yo', 'around', 'got', 'car', 'back']"
ham,"['annoying', 'isnt']"
ham,"['goodmorning', 'today', 'late', 'ltgt', 'min']"
ham,"['point', 'hangin', 'mr', 'right', 'makin', 'u', 'happy']"
ham,"['come', 'alivebetter', 'correct', 'good', 'looking', 'figure']"
ham,"['case', 'guess', 'ill', 'see', 'campus', 'lodge']"
ham,['done']
ham,"['come', 'home', 'one', 'last', 'time', 'wont', 'anything', 'trust']"
ham,"['wa', 'night', 'worrying', 'appt', 'shame', 'missed', 'girl', 'night', 'quiz', 'popcorn', 'hair']"
spam,"['sex', 'ur', 'mobile', 'free', 'sexy', 'pic', 'jordan', 'text', 'babe', 'every', 'wk', 'get', 'sexy', 'celeb', 'pocketbabecouk', 'pic', 'wk']"
ham,"['ok', 'c', 'ya']"
spam,"['new', 'voicemail', 'please', 'call']"
ham,"['said', 'matter', 'mind', 'saying', 'matter']"
ham,"['also', 'know', 'lunch', 'menu', 'da', 'know']"
ham,"['al', 'doe', 'moan', 'n', 'e', 'thin', 'go', 'wrong', 'faultal', 'de', 'argument', 'r', 'faultfed', 'himso', 'bother', 'hav', 'go', 'thanxxx']"
ham,"['neft', 'transaction', 'reference', 'number', 'ltgt', 'r', 'ltdecimalgt', 'ha', 'credited', 'beneficiary', 'account', 'ltgt', 'lttimegt', 'ltgt']"
ham,"['otherwise', 'part', 'time', 'job', 'natuition']"
ham,"['know', 'called']"
ham,"['also', 'da', 'feel', 'yesterday', 'night', 'wait', 'til', 'day', 'night', 'dear']"
ham,"['thanks', 'understanding', 'ive', 'trying', 'tell', 'sura']"
spam,"['win', 'year', 'supply', 'cd', 'store', 'ur', 'choice', 'worth', 'enter', 'weekly', 'draw', 'txt', 'music', 'tscs', 'wwwldewcomsubswinppmx']"
ham,"['whole', 'car', 'appreciated', 'last', 'two', 'dad', 'map', 'reading', 'semi', 'argument', 'apart', 'thing', 'going', 'ok', 'p']"
spam,"['sim', 'subscriber', 'selected', 'receive', 'bonus', 'get', 'delivered', 'door', 'txt', 'word', 'ok', 'claim', 'pmsg', 'exp', 'apr']"
ham,"['need', 'strong', 'arm']"
ham,"['also', 'maaaan', 'missing']"
ham,"['bday', 'real', 'april']"
ham,"['guessin', 'aint', 'gonna']"
ham,"['ok', 'come', 'ur', 'home', 'half', 'hour']"
ham,"['yo', 'game', 'almost', 'want', 'go', 'walmart', 'soon']"
ham,"['yeah', 'probably', 'sure', 'ilol', 'let', 'u', 'know', 'personally', 'wuldnt', 'bother', 'ur', 'goin', 'mite', 'well']"
ham,"['ill', 'text', 'creepy', 'like', 'wont', 'think', 'forgot']"
ham,"['would', 'good', 'ill', 'phone', 'tomo', 'lunchtime', 'shall', 'organise', 'something']"
spam,"['new', 'voicemail', 'please', 'call']"
ham,"['damn', 'make', 'tonight', 'want', 'wait', 'til', 'tomorrow']"
ham,"['kkim', 'also', 'finewhen', 'complete', 'course']"
ham,"['true', 'passable', 'get', 'high', 'score', 'apply', 'phd', 'get', 'year', 'salary', 'make', 'life', 'easier']"
spam,"['nokia', 'tone', 'ur', 'mob', 'every', 'week', 'txt', 'nok', 'st', 'tone', 'free', 'get', 'txtin', 'tell', 'ur', 'friend', 'ptone', 'reply', 'hl', 'info']"
ham,"['prakesh', 'know']"
ham,"['teach', 'apps', 'da', 'come', 'college']"
ham,"['rofl', 'betta', 'invest', 'anti', 'aging', 'product']"
spam,"['winner', 'u', 'specially', 'selected', 'receive', 'cash', 'holiday', 'flight', 'inc', 'speak', 'live', 'operator', 'claim']"
ham,"['sir', 'receive', 'account', 'another', 'hr', 'time', 'sorry', 'delay']"
spam,"['reply', 'name', 'address', 'receive', 'post', 'week', 'completely', 'free', 'accommodation', 'various', 'global', 'location', 'wwwphbcom', 'php']"
ham,"['submitting', 'da', 'project', 'tmr', 'rite']"
spam,"['free', 'entry', 'weekly', 'comp', 'send', 'word', 'enter', 'tc', 'wwwtextcompcom', 'cust', 'care']"
ham,"['jus', 'lar', 'ull', 'noe', 'later']"
ham,"['want', 'send', 'something', 'sell', 'fast', 'ltgt', 'k', 'easy', 'money']"
ham,"['got', 'thing', 'may', 'pub', 'later']"
ham,"['finish', 'meeting', 'call']"
ham,"['lol', 'ok', 'ill', 'snatch', 'purse']"
ham,"['hellodrivbyquit', 'edrunk', 'sorry', 'iff', 'pthis', 'make', 'senrddnot', 'dancce', 'drum', 'n', 'basqihave', 'fun', 'nhite', 'x', 'ro', 'xxxxxxx']"
ham,"['opinion', 'jada', 'kusruthi', 'lovable', 'silent', 'spl', 'character', 'matured', 'stylish', 'simple', 'pls', 'reply']"
ham,"['much', 'getting']"
ham,"['ur', 'paper', 'e', 'morn', 'aft', 'tmr']"
ham,"['dear', 'relieved', 'westonzoyland', 'going', 'plan', 'end']"
ham,"['hope', 'great', 'new', 'semester', 'wish', 'best', 'made', 'greatness']"
ham,"['oh', 'yes', 'speak', 'txt', 'u', 'hmm', 'u', 'get', 'email']"
ham,"['want', 'show', 'world', 'princess', 'europe']"
ham,"['nobody', 'decide', 'eat', 'dad', 'want', 'chinese']"
ham,"['shoot', 'im', 'doc', 'waiting', 'room']"
ham,"['im', 'going', 'dinner', 'soon']"
ham,"['hello', 'site', 'download', 'song', 'urgent', 'pls']"
ham,"['know', 'u', 'mean', 'king', 'havin', 'credit', 'im', 'goinbed', 'night', 'night', 'sweet', 'onlymore', 'sleep']"
ham,"['horrible', 'gal', 'sch', 'stuff', 'come', 'u', 'got', 'mc']"
ham,"['hi', 'hun', 'im', 'comin', 'nitetell', 'every', 'im', 'sorry', 'hope', 'u', 'ava', 'goodtimeoli', 'rang', 'melnite', 'ifink', 'mite', 'b', 'sortedbut', 'il', 'explain', 'everythin', 'monlrsx']"
ham,"['call', 'later', 'dont', 'network', 'urgnt', 'sm']"
ham,"['ummmmmaah', 'many', 'many', 'happy', 'return', 'day', 'dear', 'sweet', 'heart', 'happy', 'birthday', 'dear']"
spam,"['please', 'call', 'immediately', 'urgent', 'message', 'waiting']"
ham,"['yeah', 'like', 'go', 'like', 'friend', 'imma', 'flip', 'shit', 'like', 'half', 'hour']"
ham,"['mum', 'say', 'wan', 'go', 'go', 'shun', 'bian', 'watch', 'da', 'glass', 'exhibition']"
ham,"['plan', 'pongal']"
ham,"['wait', 'till', 'end', 'march', 'el', 'nino', 'get', 'oh']"
ham,"['yet', 'chikkugoing', 'room', 'nw', 'im', 'bus']"
ham,"['also', 'cbe', 'pay']"
ham,"['honey', 'boo', 'im', 'missing', 'u']"
ham,"['sent', 'jd', 'customer', 'service', 'cum', 'account', 'executive', 'ur', 'mail', 'id', 'detail', 'contact', 'u']"
ham,"['yo', 'im', 'parent', 'gettin', 'cash', 'good', 'news', 'picked', 'downstem']"
ham,"['thank', 'much', 'skyped', 'wit', 'kz', 'sura', 'didnt', 'get', 'pleasure', 'company', 'hope', 'good', 'weve', 'given', 'ultimatum', 'oh', 'countin', 'aburo', 'enjoy']"
spam,"['hungry', 'gay', 'guy', 'feeling', 'hungry', 'call', 'pmin', 'stop', 'text', 'call', 'pmin']"
ham,"['ok', 'wahala', 'remember', 'friend', 'need']"
ham,"['see', 'half', 'hour']"
ham,"['im', 'inperialmusic', 'listeningthe', 'weirdest', 'track', 'ever', 'byleafcutter', 'johnsounds', 'like', 'insect', 'molestedsomeone', 'plumbingremixed', 'evil', 'men', 'acid']"
ham,"['hey', 'sorry', 'didntgive', 'ya', 'bellearlier', 'hunny']"
ham,"['seriously', 'tell', 'exact', 'word', 'right']"
spam,"['u', 'get', 'phone', 'wanna', 'chat', 'set', 'meet', 'call', 'u', 'cum', 'moro', 'luv', 'jane', 'xx', 'callsminmoremobsemspoboxpowa']"
ham,"['tee', 'hee', 'lecture', 'cheery', 'bye', 'bye']"
ham,"['sorry', 'chikku', 'cell', 'got', 'problem', 'thts', 'wa', 'nt', 'able', 'reply', 'u', 'msg', 'u']"
ham,"['still', 'havent', 'collected', 'dough', 'pls', 'let', 'know', 'go', 'place', 'sent', 'get', 'control', 'number']"
ham,['ok']
spam,"['network', 'operator', 'service', 'free', 'c', 'visit', 'biz']"
ham,"['let', 'know', 'contact', 'ive', 'settled', 'room', 'let', 'know', 'ok']"
ham,"['wot', 'u', 'u', 'weirdo']"
ham,['lor']
ham,"['dont', 'put', 'phone', 'silent', 'mode', 'ok']"
ham,"['meet', 'depends', 'wan', 'lor']"
ham,"['waiting', 'tv', 'show', 'start', 'lor', 'u', 'leh', 'still', 'busy', 'ur', 'report']"
ham,"['oh', 'ho', 'first', 'time', 'u', 'use', 'type', 'word']"
ham,"['one', 'doesnt', 'stalk', 'profile']"
ham,"['ever', 'green', 'quote', 'ever', 'told', 'jerry', 'cartoon', 'person', 'irritates', 'u', 'always', 'one', 'love', 'u', 'vry', 'much', 'fails', 'express', 'gud', 'nyt']"
ham,"['yes', 'thought', 'thanks']"
ham,"['shes', 'drinkin', 'im', 'ok']"
ham,"['wondering', 'others', 'took']"
ham,"['night', 'ha', 'ended', 'another', 'day', 'morning', 'ha', 'come', 'special', 'way', 'may', 'smile', 'like', 'sunny', 'ray', 'leaf', 'worry', 'blue', 'blue', 'bay', 'gud', 'mrng']"
ham,"['dog', 'must', 'always', 'wait', 'till', 'end', 'day', 'word', 'run', 'time', 'cell', 'already']"
ham,"['happy', 'new', 'year', 'u']"
ham,"['heygreat', 'dealfarm', 'tour', 'pm', 'pax', 'deposit', 'may']"
ham,"['eat', 'jap', 'done', 'oso', 'aft', 'ur', 'lect', 'wat', 'got', 'lect', 'rite']"
ham,"['hey', 'babe', 'saw', 'came', 'online', 'second', 'disappeared', 'happened']"
ham,"['da', 'birthdate', 'certificate', 'april', 'real', 'date', 'today', 'dont', 'publish', 'shall', 'give', 'special', 'treat', 'keep', 'secret', 'way', 'thanks', 'wish']"
ham,"['happy', 'birthday', 'may', 'ur', 'dream', 'come', 'true']"
ham,"['aiyah', 'u', 'ok', 'already', 'lar', 'e', 'nydc', 'wheellock']"
ham,"['tell', 'said', 'eat', 'shit']"
ham,"['sure', 'driving', 'reach', 'destination', 'soon']"
ham,"['k', 'much', 'th', 'fifty']"
ham,"['daily', 'text', 'favour', 'time']"
ham,"['great', 'hear', 'settling', 'well', 'whats', 'happenin', 'wit', 'ola']"
ham,"['cocksucker', 'make', 'feel', 'better', 'ipads', 'worthless', 'garbage', 'novelty', 'item', 'feel', 'bad', 'even', 'wanting', 'one']"
ham,"['tot', 'u', 'reach', 'liao', 'said', 'tshirt']"
ham,"['fran', 'decided', 'go', 'n', 'e', 'way', 'im', 'completely', 'broke', 'knackered', 'got', 'bout', 'c', 'u', 'mrw', 'love', 'janx', 'p', 'dad', 'fone', 'credit']"
ham,"['cant', 'pick', 'phone', 'right', 'pls', 'send', 'message']"
ham,"['right', 'ill', 'make', 'appointment', 'right']"
ham,"['designation', 'software', 'developer', 'may', 'get', 'chennai']"
spam,"['enjoy', 'jamster', 'videosound', 'gold', 'club', 'credit', 'new', 'videosounds', 'logosmusicnews', 'get', 'fun', 'jamstercouk', 'help', 'call']"
spam,"['get', 'lion', 'england', 'tone', 'reply', 'lionm', 'mono', 'lionp', 'poly', 'go', 'wwwringtonescouk', 'original', 'n', 'best', 'tone', 'gbp', 'network', 'operator', 'rate', 'apply']"
ham,"['jokin', 'oni', 'lar', 'busy', 'wun', 'disturb']"
ham,"['ok', 'careful', 'dont', 'text', 'drive']"
ham,"['ill', 'always', 'even', 'spirit', 'ill', 'get', 'bb', 'soon', 'trying', 'sure', 'need']"
ham,"['u', 'r', 'much', 'close', 'heart', 'u', 'go', 'away', 'shattered', 'plz', 'stay']"
ham,"['love', 'u', 'babe', 'r', 'u', 'sure', 'everything', 'alrite', 'idiot', 'txt', 'bak', 'girlie']"
ham,"['abt', 'making', 'pic', 'bigger']"
ham,"['got', 'got', 'colour', 'lor', 'one', 'colour', 'quite', 'light', 'n', 'e', 'darker', 'lor', 'actually', 'im', 'done', 'shes', 'styling', 'hair']"
ham,"['whenevr', 'ur', 'sad', 'whenevr', 'ur', 'gray', 'remembr', 'im', 'listn', 'watevr', 'u', 'wanna', 'say', 'jus', 'walk', 'wid', 'little', 'whileamp', 'promise', 'ill', 'bring', 'back', 'ur', 'smile']"
ham,"['nothing', 'ok', 'anyway', 'give', 'treat']"
spam,"['win', 'newest', 'harry', 'potter', 'order', 'phoenix', 'book', 'reply', 'harry', 'answer', 'question', 'chance', 'first', 'among', 'reader']"
ham,['ok']
ham,"['correct', 'wa', 'work', 'today']"
ham,"['sent', 'scream', 'moan', 'bed', 'princess']"
ham,"['wake', 'long', 'ago', 'already', 'dunno', 'thing']"
ham,"['oh', 'getting', 'even', 'u', 'u']"
ham,"['thk', 'shd', 'ok', 'said', 'plus', 'minus', 'leave', 'line', 'paragraph']"
ham,"['call', 'plz', 'number', 'show', 'coveragd', 'area', 'urgnt', 'call', 'vasai', 'amp', 'reach', 'clock', 'call', 'plz']"
ham,"['yeah', 'jay', 'sort', 'fucking', 'retard']"
ham,"['sorry', 'wa', 'bathroom', 'sup']"
spam,"['ur', 'balance', 'ur', 'next', 'question', 'sang', 'uptown', 'girl', 'answer', 'txt', 'ur', 'answer', 'good', 'luck']"
ham,"['exam', 'february', 'wish', 'great', 'day']"
ham,"['dont', 'know', 'come', 'ask', 'question', 'like', 'dont', 'mistake']"
ham,"['aight', 'rush', 'ill', 'ask', 'jay']"
ham,"['good', 'morning', 'plz', 'call', 'sir']"
ham,"['ok', 'lar', 'u', 'sleep', 'early', 'nite']"
ham,"['oh', 'icic', 'k', 'lor', 'den', 'meet', 'day']"
ham,"['oh', 'half', 'hour', 'much', 'longer', 'syria', 'canada', 'eh', 'wow', 'must', 'get', 'much', 'work', 'done', 'day', 'u', 'extra', 'time', 'grin']"
ham,"['sometimes', 'put', 'wall', 'around', 'heartsnot', 'safe', 'getting', 'hurt', 'find', 'care', 'enough', 'break', 'wall', 'amp', 'get', 'closer', 'goodnoon']"
ham,"['sweet', 'may', 'may', 'go', 'u', 'meet', 'carlos', 'gauge', 'patty', 'interest']"
ham,"['buying', 'today', 'need', 'c', 'meh']"
ham,"['aight', 'sorry', 'take', 'ten', 'year', 'shower', 'whats', 'plan']"
ham,"['every', 'mondaynxt', 'week', 'vl', 'completing']"
ham,"['might', 'ax', 'well', 'im']"
ham,"['chill', 'another', 'hr', 'could', 'sleep', 'pain', 'surgical', 'emergency', 'see', 'unfolds', 'okay']"
ham,"['yeah', 'ill', 'try', 'scrounge', 'something']"
ham,"['crazy', 'ar', 'married', 'like', 'gd', 'looking', 'guy', 'frens', 'like', 'say', 'korean', 'leonas', 'fave', 'dun', 'thk', 'aft', 'thinking', 'mayb', 'prob', 'ill', 'go']"
ham,"['somewhere', 'fredericksburg']"
ham,"['que', 'pas', 'un', 'buen', 'tiempo', 'something', 'like']"
ham,"['ok', 'stay', 'night', 'xavier', 'ha', 'sleeping', 'bag', 'im', 'getting', 'tired']"
ham,"['doesnt', 'need', 'test']"
ham,"['nothing', 'much', 'chillin', 'home', 'super', 'bowl', 'plan']"
spam,"['freeday', 'sexy', 'st', 'george', 'day', 'pic', 'jordantxt', 'pic', 'dont', 'miss', 'every', 'wk', 'saucy', 'celeb', 'pic', 'c', 'pocketbabecouk', 'wk']"
ham,"['bugis', 'oso', 'near', 'wat']"
ham,"['yo', 'class', 'tmrw', 'right']"
ham,"['let', 'ur', 'heart', 'ur', 'compass', 'ur', 'mind', 'ur', 'map', 'ur', 'soul', 'ur', 'guide', 'u', 'never', 'loose', 'worldgnun', 'sent', 'via', 'waysmscom']"
ham,"['goodnight', 'sleep', 'well', 'da', 'please', 'take', 'care', 'pa', 'please']"
ham,"['baaaaabe', 'miss', 'youuuuu', 'go', 'teach', 'class']"
ham,"['convey', 'regard']"
ham,"['u', 'ned', 'convince', 'tht', 'possible', 'witot', 'hurting', 'feeling', 'main']"
ham,"['good', 'afternoon', 'loverboy', 'go', 'day', 'luck', 'come', 'way', 'think', 'sweetie', 'send', 'love', 'across', 'sea', 'make', 'smile', 'happy']"
ham,"['start', 'sending', 'blackberry', 'torch', 'nigeria', 'find', 'buyer', 'melike', 'month', 'tell', 'dad', 'buy', 'bb', 'anyone', 'oh']"
ham,"['ltgt', 'pple', 'marry', 'lover', 'becz', 'hav', 'gud', 'undrstndng', 'dat', 'avoids', 'problem', 'sent', 'dis', 'u', 'u', 'wil', 'get', 'gud', 'news', 'friday', 'person', 'like', 'tomorrow', 'best', 'day', 'life', 'dont', 'break', 'chain', 'break', 'suffer', 'send', 'ltgt', 'frnds', 'ltgt', 'min', 'whn', 'u', 'read']"
ham,"['yo', 'dude', 'guess', 'got', 'arrested', 'day']"
ham,"['shuhui', 'say', 'change', 'suntec', 'steamboat', 'u', 'noe', 'r', 'u']"
ham,"['doe', 'dance', 'river']"
ham,"['yetunde', 'im', 'sorry', 'moji', 'seem', 'busy', 'able', 'go', 'shopping', 'please', 'find', 'way', 'get', 'wanted', 'u', 'get', 'please', 'forgive', 'reply', 'free', 'via', 'yahoo', 'messenger']"
ham,"['hey', 'really', 'pretty', 'late', 'want', 'go', 'lesson', 'first', 'join', 'im', 'reaching', 'tp', 'mrt']"
spam,"['hot', 'live', 'fantasy', 'call', 'p', 'per', 'min', 'ntt', 'ltd', 'po', 'box', 'croydon', 'cr', 'wb', 'k']"
ham,"['bbq', 'sat', 'mine', 'ish', 'ur', 'welcome', 'come']"
ham,"['dont', 'know', 'thing', 'thats', 'wrong', 'everyso', 'often', 'panicks', 'start', 'goin', 'bout', 'bein', 'good', 'enough']"
ham,"['alright', 'im', 'outhave', 'good', 'night']"
ham,"['try', 'making', 'another', 'butt']"
ham,"['hope', 'feeling', 'great', 'pls', 'fill', 'abiola']"
ham,"['though', 'shd', 'go', 'n', 'fun', 'bar', 'town', 'something', 'sound', 'ok']"
ham,"['go', 'write', 'msg', 'put', 'dictionary', 'mode', 'cover', 'screen', 'hand', 'press', 'ltgt', 'gently', 'remove', 'ur', 'hand', 'interesting']"
spam,"['bear', 'pic', 'nick', 'tom', 'pete', 'dick', 'fact', 'type', 'try', 'gay', 'chat', 'photo', 'upload', 'call', 'pmin', 'stop', 'text', 'call']"
spam,"['new', 'mobile', 'must', 'go', 'txt', 'nokia', 'collect', 'todayfrom', 'wwwtcbiz', 'optout', 'gbpmtmsg', 'txtauction']"
ham,"['finally', 'ready', 'fyi']"
ham,"['auntie', 'huai', 'juan', 'never', 'pick', 'phone']"
spam,"['double', 'min', 'double', 'txt', 'price', 'linerental', 'latest', 'orange', 'bluetooth', 'mobile', 'call', 'mobileupd', 'latest', 'offer', 'calloptoutlf']"
ham,"['ya', 'tel', 'wats', 'ur', 'problem']"
spam,"['nokia', 'tone', 'ur', 'mob', 'every', 'week', 'txt', 'nok', 'st', 'tone', 'free', 'get', 'txtin', 'tell', 'ur', 'friend', 'ptone', 'reply', 'hl', 'info']"
ham,"['dnt', 'wnt', 'tlk', 'wid', 'u']"
ham,"['spend', 'day', 'waiting', 'ideal', 'path', 'appear', 'front', 'u', 'forget', 'path', 'made', 'walking', 'waiting', 'goodnight']"
ham,"['ok', 'arm', 'feeling', 'weak', 'cuz', 'got', 'shot', 'go', 'another', 'time']"
ham,"['please', 'reserve', 'ticket', 'saturday', 'eve', 'chennai', 'thirunelvali', 'tirunelvali', 'chennai', 'sunday', 'evei', 'already', 'see', 'netno', 'ticket', 'availablei', 'want', 'book', 'ticket', 'tackle']"
ham,"['storming', 'msg', 'wen', 'u', 'lift', 'phne', 'u', 'say', 'hello', 'u', 'knw', 'wt', 'real', 'meaning', 'hello', 'name', 'girl', 'yes', 'u', 'knw', 'dat', 'girl', 'margaret', 'hello', 'girlfrnd', 'f', 'grahmbell', 'invnted', 'telphone', 'moralone', 'get', 'name', 'person']"
ham,"['thats', 'ok', 'popped', 'ask', 'bout', 'something', 'said', 'youd', 'around', 'tonght', 'wen', 'girl', 'come']"
ham,"['e', 'best', 'ur', 'exam', 'later']"
ham,"['hope', 'ur', 'head', 'doesnt', 'hurt', 'much', 'ploughing', 'way', 'pile', 'ironing', 'staying', 'chinky', 'tonight', 'come', 'round', 'like']"
ham,"['oh', 'ki', 'think', 'wi', 'nz', 'player', 'unsold']"
ham,"['haha', 'got', 'fast', 'lose', 'weight', 'thk', 'muz', 'go', 'month', 'den', 'got', 'effect', 'geelater', 'go', 'aust', 'put', 'bk', 'e', 'weight']"
ham,"['wonder', 'got', 'online', 'love', 'gone', 'net', 'cafe', 'get', 'phone', 'recharged', 'friend', 'net', 'think', 'boytoy']"
ham,"['haha', 'kidding', 'papa', 'need', 'drug']"
ham,"['thk', 'shld', 'b', 'ya', 'wana', 'go', 'lesson', 'haha', 'go', 'one', 'whole', 'stretch']"
ham,"['oh', 'ok']"
ham,"['r', 'still', 'meeting', 'dinner', 'tonight']"
ham,"['thats', 'cool', 'gentleman', 'treat', 'dignity', 'respect']"
ham,"['shall', 'start', 'hear']"
ham,"['wait', 'u', 'lor', 'need', 'feel', 'bad', 'lar']"
ham,"['check', 'got', 'detailed', 'message']"
ham,"['registered', 'sinco', 'payee', 'log', 'icicibankcom', 'enter', 'urn', 'ltgt', 'confirm', 'beware', 'fraud', 'share', 'disclose', 'urn', 'anyone']"
ham,"['decided', 'people', 'care', 'stuff', 'vote', 'caring', 'stuff', 'loser']"
ham,"['kaiez', 'enjoy', 'ur', 'tuition', 'gee', 'thk', 'e', 'second', 'option', 'sound', 'beta', 'ill', 'go', 'yan', 'jiu', 'den', 'msg', 'u']"
ham,"['registered', 'sinco', 'payee', 'log', 'icicibankcom', 'enter', 'urn', 'ltgt', 'confirm', 'beware', 'fraud', 'share', 'disclose', 'urn', 'anyone']"
ham,"['cool', 'fun', 'practicing', 'making', 'baby']"
ham,"['actually', 'getting', 'ready', 'leave', 'house']"
ham,"['kkany', 'special', 'today']"
spam,"['urgent', 'important', 'information', 'user', 'today', 'lucky', 'day', 'find', 'log', 'onto', 'httpwwwurawinnercom', 'fantastic', 'surprise', 'awaiting']"
ham,['gotta']
ham,"['ive', 'got', 'ten', 'buck', 'jay', 'noncomittal']"
ham,['hungry']
ham,"['pls', 'speak', 'customer', 'machan']"
ham,"['somewhere', 'beneath', 'pale', 'moon', 'light', 'someone', 'think', 'u', 'dream', 'come', 'true', 'goodnite', 'amp', 'sweet', 'dream']"
ham,"['wen', 'ur', 'lovable', 'bcums', 'angry', 'wid', 'u', 'dnt', 'take', 'seriously', 'coz', 'angry', 'childish', 'n', 'true', 'way', 'showing', 'deep', 'affection', 'care', 'n', 'luv', 'kettoda', 'manda', 'nice', 'day', 'da']"
spam,"['dear', 'uve', 'invited', 'xchat', 'final', 'attempt', 'contact', 'u', 'txt', 'chat', 'pmsgrcvdhgsuitelandsrowwjhl', 'ldn', 'yr']"
ham,"['wats', 'ur', 'opinion', 'abt', 'abt', 'character']"
ham,"['jay', 'snickering', 'tell', 'x', 'totally', 'fucking', 'chord', 'speak']"
ham,"['nofew', 'hour', 'beforewent', 'hair', 'cut']"
ham,"['wonder', 'co', 'dun', 'rem', 'seeing', 'silver', 'car', 'thk', 'saw', 'black', 'one']"
ham,"['lmao', 'take', 'pic', 'send']"
ham,"['speak', 'feel', 'word', 'better', 'silence', 'gud', 'mrng']"
ham,"['shes', 'currently', 'scotland']"
ham,"['work', 'week']"
spam,"['congratulation', 'ur', 'awarded', 'either', 'cd', 'gift', 'voucher', 'free', 'entry', 'weekly', 'draw', 'txt', 'music', 'tncs', 'wwwldewcom', 'winppmxage']"
ham,"['lol', 'great', 'im', 'getting', 'hungry']"
ham,"['yes', 'saw', 'message']"
ham,"['ill', 'mu', 'like', 'ltgt', 'second']"
ham,['ok']
ham,"['thing', 'r', 'good', 'thanx', 'got', 'exam', 'march', 'ive', 'done', 'revision', 'fran', 'still', 'boyf', 'ive', 'gotta', 'interviw', 'exeter', 'bit', 'worriedx']"
ham,"['tell', 'make', 'little', 'spreadsheet', 'track', 'whose', 'idea', 'wa', 'smoke', 'determine', 'smoke', 'much', 'entire', 'month', 'february']"
spam,"['sale', 'arsenal', 'dartboard', 'good', 'condition', 'double', 'treble']"
ham,"['dont', 'look', 'back', 'building', 'coat', 'dont', 'want', 'get', 'sick', 'hurry', 'home', 'wear', 'coat', 'gym']"
ham,"['painful', 'personal', 'thought', 'always', 'try', 'keep', 'everybody', 'happy', 'time', 'nobody', 'recognises', 'alone']"
ham,"['thanks', 'lovely', 'wisheds', 'rock']"
ham,"['intrepid', 'duo', 'great', 'time', 'see', 'soon']"
ham,"['asked', 'sen', 'come', 'chennai', 'search', 'job']"
ham,"['dad', 'went', 'oredi']"
ham,"['jus', 'hope', 'true', 'missin', 'co', 'im', 'really', 'missin', 'havent', 'done', 'anything', 'feel', 'guilty', 'yet']"
ham,"['wat', 'late', 'still', 'early', 'mah', 'juz', 'go', 'dinner', 'lor', 'aiya', 'dunno']"
ham,"['arm', 'fine', 'hows', 'cardiff', 'uni']"
ham,"['fact', 'leave', 'think', 'addie', 'go', 'back', 'school', 'tues', 'wed']"
ham,"['cool', 'breeze', 'bright', 'sun', 'fresh', 'flower', 'twittering', 'bird', 'waiting', 'wish', 'u', 'goodmorning', 'amp', 'nice', 'day']"
ham,"['yagoing', 'restaurant']"
ham,"['ok', 'askd', 'u', 'knw', 'tht']"
spam,"['free', 'st', 'week', 'entry', 'textpod', 'chance', 'win', 'gb', 'ipod', 'cash', 'every', 'wk', 'txt', 'pod', 'tscs', 'wwwtextpodnet', 'custcare']"
ham,"['ducking', 'chinchilla']"
ham,"['marriage', 'function']"
ham,"['look', 'like', 'u', 'wil', 'b', 'getting', 'headstart', 'im', 'leaving', 'bout', 'ish', 'u', 'r', 'desperate', 'company', 'could', 'head', 'earlierwe', 'goin', 'meet', 'rummer']"
ham,"['dont', 'give', 'flying', 'monkey', 'wot', 'think', 'certainly', 'dont', 'mind', 'friend', 'mine']"
spam,"['registered', 'optin', 'subscriber', 'ur', 'draw', 'gift', 'voucher', 'entered', 'receipt', 'correct', 'whats', 'bbc', 'chart']"
ham,"['say', 'thanks']"
ham,"['msg', 'rajini', 'come']"
